Camera, Image File Name, Description, Image Location - Easting Coordinate* Image Location - Northing Coordinate* URL
TR105F, TR105F.JPG, Tuen Mun Road - Ting Kau Section, 826026 825793 http://tdcctv.data.one.gov.hk/TR105F.JPG
TR108F, TR108F.JPG, Tuen Mun Road - Sham Tseng Interchange, 824330 825576 http://tdcctv.data.one.gov.hk/TR108F.JPG
TR114F, TR114F.JPG, Tuen Mun Road - Tai Lam Kok Section, 820053 824313 http://tdcctv.data.one.gov.hk/TR114F.JPG
TR119F, TR119F.JPG, Tuen Mun Road - Sam Shing Hui, 816113 827041 http://tdcctv.data.one.gov.hk/TR119F.JPG
TC104F, TC104F.JPG, Tsing Kwai Highway Near Container Port 4, 831612 822223 http://tdcctv.data.one.gov.hk/TC104F.JPG
BC101F, BC101F.JPG, San Tin Highway near Fairview Park, 823794 837083 http://tdcctv.data.one.gov.hk/BC101F.JPG
BC102F, BC102F.JPG, San Tin Highway near Mai Po, 824754 839245 http://tdcctv.data.one.gov.hk/BC102F.JPG
BC103F, BC103F.JPG, San Sham Road Roundabout, 826465 840287 http://tdcctv.data.one.gov.hk/BC103F.JPG
FH104F, FH104F.JPG, Fanling Highway near Kwu Tung, 827827 840497 http://tdcctv.data.one.gov.hk/FH104F.JPG
FH106F, FH106F.JPG, Fanling Highway near Sheung Shui Roundabout, 830869 840072 http://tdcctv.data.one.gov.hk/FH106F.JPG
FH107F, FH107F.JPG, Fanling Highway near Pak Wo Road, 831274 839862 http://tdcctv.data.one.gov.hk/FH107F.JPG
NH101F, NH101F.JPG, Jockey Club Road near Fanling Highway, 833149 838713 http://tdcctv.data.one.gov.hk/NH101F.JPG
NH109F, NH109F.JPG, Jockey Club Road near Ma Sik Road, 831857 840099 http://tdcctv.data.one.gov.hk/NH109F.JPG
NH113F, NH113F.JPG, San Wan Road near Lung Sum Avenue, 831083 840385 http://tdcctv.data.one.gov.hk/NH113F.JPG
NH115F, NH115F.JPG, Sha Tau Kok Road near Ma Sik Road, 833194 840146 http://tdcctv.data.one.gov.hk/NH115F.JPG
TP102F, TP102F.JPG, Yuen Shin Road near Ting Kok Road, 836303 835283 http://tdcctv.data.one.gov.hk/TP102F.JPG
TP105F, TP105F.JPG, Tai Po Tai Wo Road near Nam Wan Road, 835765 834669 http://tdcctv.data.one.gov.hk/TP105F.JPG
TP112F, TP112F.JPG, Tai Po Tai Wo Road near Tai Po Road- Tai Wo, 834416 834785 http://tdcctv.data.one.gov.hk/TP112F.JPG
TP114F, TP114F.JPG, Nam Wan Road near Kwong Fuk Road, 835744 834126 http://tdcctv.data.one.gov.hk/TP114F.JPG
K101F, K101F.JPG, Salisbury Road near Nathan Road, 835792 817332 http://tdcctv.data.one.gov.hk/K101F.JPG
K102F, K102F.JPG, Salisbury Road near Chatham Road, 836094 817392 http://tdcctv.data.one.gov.hk/K102F.JPG
K104F, K104F.JPG, Canton Road near China HK City, 835403 817905 http://tdcctv.data.one.gov.hk/K104F.JPG
K106F, K106F.JPG, Chatham Road near Austin Road, 836292 818257 http://tdcctv.data.one.gov.hk/K106F.JPG
K107F, K107F.JPG, Cross Harbour Tunnel Kowloon Side, 836663 818254 http://tdcctv.data.one.gov.hk/K107F.JPG
K108F, K108F.JPG, Jordan Road near Ferry Street, 835241 818565 http://tdcctv.data.one.gov.hk/K108F.JPG
K109F, K109F.JPG, Chatham Road near Princess Margaret Road, 836431 818558 http://tdcctv.data.one.gov.hk/K109F.JPG
K111F, K111F.JPG, Waterloo Road / Ferry Street, 835268 819288 http://tdcctv.data.one.gov.hk/K111F.JPG
K112F, K112F.JPG, Waterloo Road near Tung Fong Street, 835746 819346 http://tdcctv.data.one.gov.hk/K112F.JPG
K123F, K123F.JPG, Princess Margaret Road near King's Park, 836386 819050 http://tdcctv.data.one.gov.hk/K123F.JPG
K209F, K209F.JPG, Boundary Street near Tai Hang Tung Road, 835803 820822 http://tdcctv.data.one.gov.hk/K209F.JPG
K221F, K221F.JPG, Cherry Street near Hoi Wang Road, 834872 819932 http://tdcctv.data.one.gov.hk/K221F.JPG
K305F, K305F.JPG, Cheung Sha Wan Road near Kwong Cheung Street, 833671 822192 http://tdcctv.data.one.gov.hk/K305F.JPG
K325F, K325F.JPG, Kwai Chung Road near Mei Fo Sun Chuen, 832615 821975 http://tdcctv.data.one.gov.hk/K325F.JPG
K404F, K404F.JPG, Kai Tak Tunnel Kowloon City Side, 837362 819479 http://tdcctv.data.one.gov.hk/K404F.JPG
K405F, K405F.JPG, Ma Tau Wai Road near Farm Road, 837368 820335 http://tdcctv.data.one.gov.hk/K405F.JPG
K408F, K408F.JPG, Princess Margaret Road/Pui Ching Road, 836431 819862 http://tdcctv.data.one.gov.hk/K408F.JPG
K409F, K409F.JPG, Princess Margaret Road/Argyle Street, 836338 820335 http://tdcctv.data.one.gov.hk/K409F.JPG
K502F, K502F.JPG, Waterloo Road/Cornwall Street, 836493 822345 http://tdcctv.data.one.gov.hk/K502F.JPG
K505F, K505F.JPG, Lung Cheung Road/Chuk Yuen Road, 837065 822685 http://tdcctv.data.one.gov.hk/K505F.JPG
