Camera, Image File Name, Description,Image Location - Easting Coordinate*,Image Location - Northing Coordinate*,URL,,,,,
SM933F, SM933F.JPG, Shing Mun Tunnel Road,837023,826509,http://tdcctv.data.one.gov.hk/SM933F.JPG,"22.472701257, 114.082049983",22.472701257,114.082049983,114.1842054,22.37778251
SM934F, SM934F.JPG, Shing Mun Tunnel Shatin Side,835189,826867,http://tdcctv.data.one.gov.hk/SM934F.JPG,"22.456141471, 114.085539378",22.456141471,114.085539378,114.166397,22.38101527
ST106F, ST106F.JPG, Sha Tin Wai Road/Sha Lek Highway Slip Road,838649,826523,http://tdcctv.data.one.gov.hk/ST106F.JPG,"22.487384772, 114.082176034",22.487384772,114.082176034,114.1999939,22.37790745
ST109F, ST109F.JPG, Tai Chung Kiu Road near Ravana Garden,839016,827761,http://tdcctv.data.one.gov.hk/ST109F.JPG,"22.490705543, 114.094204490",22.490705543,114.094204490,114.2035597,22.38908669
ST112F, ST112F.JPG, Mei Tin Rd nr Che Kung Miu Rd Rbt,836584,825780,http://tdcctv.data.one.gov.hk/ST112F.JPG,"22.468732587, 114.074969480",22.468732587,114.074969480,114.1799426,22.37119939
ST114F, ST114F.JPG, Tai Po Road - Shatin Section,837674,827277,http://tdcctv.data.one.gov.hk/ST114F.JPG,"22.478584267, 114.089508648",22.478584267,114.089508648,114.1905273,22.38471755
ST115F, ST115F.JPG, Fo Tan Road,838338,827859,http://tdcctv.data.one.gov.hk/ST115F.JPG,"22.484583419, 114.095160434",22.484583419,114.095160434,114.1969759,22.38997263
ST117F, ST117F.JPG, Sai Sha Road near Ma On Shan Sports Ground,841439,831310,http://tdcctv.data.one.gov.hk/ST117F.JPG,"22.512600167, 114.128685622",22.512600167,114.128685622,114.2271004,22.42113032
ST119F, ST119F.JPG, Sai Sha Road/Kam Ying Road,842843,831980,http://tdcctv.data.one.gov.hk/ST119F.JPG,"22.525280622, 114.135193820",22.525280622,114.135193820,114.2407403,22.42717592
TH101F, TH101F.JPG, Tolo Highway near Ma Liu Shui Interchange,839951,830304,http://tdcctv.data.one.gov.hk/TH101F.JPG,"22.499159738, 114.118913506",22.499159738,114.118913506,114.2126451,22.4120495
TH110F, TH110F.JPG, Tolo Highway near HK Science Park,838284,833227,http://tdcctv.data.one.gov.hk/TH110F.JPG,"22.484113768, 114.147323757",22.484113768,114.147323757,114.1964583,22.43844836
TH114F, TH114F.JPG, Tolo Highway near Island House Interchange,836304,833974,http://tdcctv.data.one.gov.hk/TH114F.JPG,"22.466234701, 114.154585520",22.466234701,114.154585520,114.1772241,22.4451953
RT115F, RT115F.JPG, Lung Mun Road near Wu Chui Road,813942,826353,http://tdcctv.data.one.gov.hk/RT115F.JPG,"22.264266772, 114.080677436",22.264266772,114.080677436,113.9600914,22.37622876
RT116F, RT116F.JPG, Wong Chu Road near Lung Mun Road,814689,827701,http://tdcctv.data.one.gov.hk/RT116F.JPG,"22.271019875, 114.093751952",22.271019875,114.093751952,113.9673264,22.38841138
TC604F, TC604F.JPG, Ting Kau Bridge,826493,824541,http://tdcctv.data.one.gov.hk/TC604F.JPG,"22.377598155, 114.063005266",22.377598155,114.063005266,114.0819711,22.35998279
TC612F, TC612F.JPG, Tuen Mun Road to Ting Kau Bridge,825761,825704,http://tdcctv.data.one.gov.hk/TC612F.JPG,"22.370995366, 114.074302817",22.370995366,114.074302817,114.0748566,22.37048098
TR101F, TR101F.JPG, Tuen Mun Road - Chai Wan Kok,828593,826093,http://tdcctv.data.one.gov.hk/TR101F.JPG,"22.396572116, 114.078061770",22.396572116,114.078061770,114.1023521,22.37400884
TR105F, TR105F.JPG, Tuen Mun Road - Ting Kau Section,826026,825793,http://tdcctv.data.one.gov.hk/TR105F.JPG,"22.373388999, 114.075165227",22.373388999,114.075165227,114.0774291,22.37128629
TR108F, TR108F.JPG, Tuen Mun Road - Sham Tseng Interchange,824330,825576,http://tdcctv.data.one.gov.hk/TR108F.JPG,"22.358071886, 114.073069573",22.358071886,114.073069573,114.0609633,22.36931572
TR114F, TR114F.JPG, Tuen Mun Road - Tai Lam Kok Section,820053,824313,http://tdcctv.data.one.gov.hk/TR114F.JPG,"22.319439885, 114.060839529",22.319439885,114.060839529,114.019449,22.35787513
TR119F, TR119F.JPG, Tuen Mun Road - Sam Shing Hui,816113,827041,http://tdcctv.data.one.gov.hk/TR119F.JPG,"22.283876090, 114.087340044",22.283876090,114.087340044,113.9811628,22.38246859
TC104F, TC104F.JPG, Tsing Kwai Highway Near Container Port 4,831612,822223,http://tdcctv.data.one.gov.hk/TC104F.JPG,"22.423807773, 114.040452452",22.423807773,114.040452452,114.131677,22.33907145
BC101F, BC101F.JPG, San Tin Highway near Fairview Park,823794,837083,http://tdcctv.data.one.gov.hk/BC101F.JPG,"22.353264561, 114.184786646",22.353264561,114.184786646,114.0556689,22.47322542
BC102F, BC102F.JPG, San Tin Highway near Mai Po,824754,839245,http://tdcctv.data.one.gov.hk/BC102F.JPG,"22.361931499, 114.205777808",22.361931499,114.205777808,114.0649812,22.49275587
BC103F, BC103F.JPG, San Sham Road Roundabout,826465,840287,http://tdcctv.data.one.gov.hk/BC103F.JPG,"22.377380622, 114.215898805",22.377380622,114.215898805,114.0816023,22.50217621
FH104F, FH104F.JPG, Fanling Highway near Kwu Tung,827827,840497,http://tdcctv.data.one.gov.hk/FH104F.JPG,"22.389679687, 114.217941515",22.389679687,114.217941515,114.094838,22.50407987
FH106F, FH106F.JPG, Fanling Highway near Sheung Shui Roundabout,830869,840072,http://tdcctv.data.one.gov.hk/FH106F.JPG,"22.417151462, 114.213821677",22.417151462,114.213821677,114.124404,22.5002543
FH107F, FH107F.JPG, Fanling Highway near Pak Wo Road,831274,839862,http://tdcctv.data.one.gov.hk/FH107F.JPG,"22.420809261, 114.211782916",22.420809261,114.211782916,114.1283407,22.49835915
NH101F, NH101F.JPG, Jockey Club Road near Fanling Highway,833149,838713,http://tdcctv.data.one.gov.hk/NH101F.JPG,"22.437743424, 114.200625564",22.437743424,114.200625564,114.146565,22.48798767
NH109F, NH109F.JPG, Jockey Club Road near Ma Sik Road,831857,840099,http://tdcctv.data.one.gov.hk/NH109F.JPG,"22.426073515, 114.214086301",22.426073515,114.214086301,114.1340059,22.50050096
NH113F, NH113F.JPG, San Wan Road near Lung Sum Avenue,831083,840385,http://tdcctv.data.one.gov.hk/NH113F.JPG,"22.419083261, 114.216862320",22.419083261,114.216862320,114.1264828,22.50308147
NH115F, NH115F.JPG, Sha Tau Kok Road near Ma Sik Road,833194,840146,http://tdcctv.data.one.gov.hk/NH115F.JPG,"22.438147144, 114.214546091",22.438147144,114.214546091,114.1469995,22.50092831
TP102F, TP102F.JPG, Yuen Shin Road near Ting Kok Road,836303,835283,http://tdcctv.data.one.gov.hk/TP102F.JPG,"22.466226924, 114.167303980",22.466226924,114.167303980,114.1772144,22.45701616
TP105F, TP105F.JPG, Tai Po Tai Wo Road near Nam Wan Road,835765,834669,http://tdcctv.data.one.gov.hk/TP105F.JPG,"22.461368088, 114.161338796",22.461368088,114.161338796,114.1719877,22.4514714
TP112F, TP112F.JPG, Tai Po Tai Wo Road near Tai Po Road- Tai Wo,834416,834785,http://tdcctv.data.one.gov.hk/TP112F.JPG,"22.449186125, 114.162467087",22.449186125,114.162467087,114.1588818,22.452518
TP114F, TP114F.JPG, Nam Wan Road near Kwong Fuk Road,835744,834126,http://tdcctv.data.one.gov.hk/TP114F.JPG,"22.461177856, 114.156063131",22.461177856,114.156063131,114.1717838,22.44656785
K101F, K101F.JPG, Salisbury Road near Nathan Road,835792,817332,http://tdcctv.data.one.gov.hk/K101F.JPG,"22.461507795, 113.992895577",22.461507795,113.992895577,114.1722551,22.29490902
K102F, K102F.JPG, Salisbury Road near Chatham Road,836094,817392,http://tdcctv.data.one.gov.hk/K102F.JPG,"22.464235635, 113.993474936",22.464235635,113.993474936,114.1751858,22.29545092
K104F, K104F.JPG, Canton Road near China HK City,835403,817905,http://tdcctv.data.one.gov.hk/K104F.JPG,"22.458001223, 113.998467218",22.458001223,113.998467218,114.1684798,22.30008342
K106F, K106F.JPG, Chatham Road near Austin Road,836292,818257,http://tdcctv.data.one.gov.hk/K106F.JPG,"22.466032986, 114.001877012",22.466032986,114.001877012,114.1771073,22.30326241
K107F, K107F.JPG, Cross Harbour Tunnel Kowloon Side,836663,818254,http://tdcctv.data.one.gov.hk/K107F.JPG,"22.469383228, 114.001843656",22.469383228,114.001843656,114.1807078,22.30323527
K108F, K108F.JPG, Jordan Road near Ferry Street,835241,818565,http://tdcctv.data.one.gov.hk/K108F.JPG,"22.456545259, 114.004881282",22.456545259,114.004881282,114.1669073,22.30604353
K109F, K109F.JPG, Chatham Road near Princess Margaret Road,836431,818558,http://tdcctv.data.one.gov.hk/K109F.JPG,"22.467291356, 114.004800010",22.467291356,114.004800010,114.1784563,22.30598061
K111F, K111F.JPG, Waterloo Road / Ferry Street,835268,819288,http://tdcctv.data.one.gov.hk/K111F.JPG,"22.456796412, 114.011905262",22.456796412,114.011905262,114.1671689,22.31257268
K112F, K112F.JPG, Waterloo Road near Tung Fong Street,835746,819346,http://tdcctv.data.one.gov.hk/K112F.JPG,"22.461113519, 114.012463669",22.461113519,114.012463669,114.1718081,22.31309666
K123F, K123F.JPG, Princess Margaret Road near King's Park,836386,819050,http://tdcctv.data.one.gov.hk/K123F.JPG,"22.466890016, 114.009580865",22.466890016,114.009580865,114.1780196,22.31042368
K209F, K209F.JPG, Boundary Street near Tai Hang Tung Road,835803,820822,http://tdcctv.data.one.gov.hk/K209F.JPG,"22.461642225, 114.026803592",22.461642225,114.026803592,114.1723609,22.32642584
K221F, K221F.JPG, Cherry Street near Hoi Wang Road,834872,819932,http://tdcctv.data.one.gov.hk/K221F.JPG,"22.453226645, 114.018166092",22.453226645,114.018166092,114.1633249,22.31838811
K305F, K305F.JPG, Cheung Sha Wan Road near Kwong Cheung Street,833671,822192,http://tdcctv.data.one.gov.hk/K305F.JPG,"22.442401198, 114.040133133",22.442401198,114.040133133,114.1516645,22.33879584
K325F, K325F.JPG, Kwai Chung Road near Mei Fo Sun Chuen,832615,821975,http://tdcctv.data.one.gov.hk/K325F.JPG,"22.432863259, 114.038034578",22.432863259,114.038034578,114.1414141,22.33683429
K404F, K404F.JPG, Kai Tak Tunnel Kowloon City Side,837362,819479,http://tdcctv.data.one.gov.hk/K404F.JPG,"22.475707943, 114.013738784",22.475707943,114.013738784,114.1874923,22.31429746
K405F, K405F.JPG, Ma Tau Wai Road near Farm Road,837368,820335,http://tdcctv.data.one.gov.hk/K405F.JPG,"22.475770323, 114.022056293",22.475770323,114.022056293,114.1875511,22.32202765
K408F, K408F.JPG, Princess Margaret Road/Pui Ching Road,836431,819862,http://tdcctv.data.one.gov.hk/K408F.JPG,"22.467304371, 114.017469931",22.467304371,114.017469931,114.1784564,22.31775652
K409F, K409F.JPG, Princess Margaret Road/Argyle Street,836338,820335,http://tdcctv.data.one.gov.hk/K409F.JPG,"22.466469020, 114.022066627",22.466469020,114.022066627,114.1775538,22.322028
